timestamp,hour_of_day,http_status,download_start_time,download_end_time,elapsed_transfer_s,filesize_bytes,throughput_mbps,result,url
2026-03-30T14:16:28.020303+05:30,14,200,2026-03-30T14:16:28.294928+05:30,2026-03-30T14:17:02.374686+05:30,33.5054,283759398,67.7524,success,https://stpes2ug24cs784388567931.file.core.windows.net/6c48981d-f8aa-4fb3-b21c-d5d503f50a55-code/peppa1.mp4?sp=r&st=2026-03-22T15%3A29%3A34Z&se=2026-04-30T15%3A45%3A00Z&sv=2024-11-04&sig=jn47d8f4kmtWLC5P4MdoE8WFRrN7dDbPnqy3eH4jAN0%3D&sr=f&_cbt=90803efdda5147ceb16fb7d8ee4d3c61
2026-03-30T14:17:28.017022+05:30,14,200,2026-03-30T14:17:28.019734+05:30,2026-03-30T14:18:06.548233+05:30,38.2101,283759398,59.4103,success,https://stpes2ug24cs784388567931.file.core.windows.net/6c48981d-f8aa-4fb3-b21c-d5d503f50a55-code/peppa1.mp4?sp=r&st=2026-03-22T15%3A29%3A34Z&se=2026-04-30T15%3A45%3A00Z&sv=2024-11-04&sig=jn47d8f4kmtWLC5P4MdoE8WFRrN7dDbPnqy3eH4jAN0%3D&sr=f&_cbt=2d03d324acb1455e8482f791c20a6fc7
2026-03-30T14:18:28.017036+05:30,14,200,2026-03-30T14:18:28.028734+05:30,2026-03-30T14:19:11.702922+05:30,43.2562,283759398,52.4798,success,https://stpes2ug24cs784388567931.file.core.windows.net/6c48981d-f8aa-4fb3-b21c-d5d503f50a55-code/peppa1.mp4?sp=r&st=2026-03-22T15%3A29%3A34Z&se=2026-04-30T15%3A45%3A00Z&sv=2024-11-04&sig=jn47d8f4kmtWLC5P4MdoE8WFRrN7dDbPnqy3eH4jAN0%3D&sr=f&_cbt=d6a9fbbea66e41bbbfed65e1f9d1ca96
2026-03-30T14:19:28.017039+05:30,14,200,2026-03-30T14:19:28.117301+05:30,2026-03-30T14:21:53.455814+05:30,144.8698,283759398,15.6698,success,https://stpes2ug24cs784388567931.file.core.windows.net/6c48981d-f8aa-4fb3-b21c-d5d503f50a55-code/peppa1.mp4?sp=r&st=2026-03-22T15%3A29%3A34Z&se=2026-04-30T15%3A45%3A00Z&sv=2024-11-04&sig=jn47d8f4kmtWLC5P4MdoE8WFRrN7dDbPnqy3eH4jAN0%3D&sr=f&_cbt=e5c0c6a9d0d74b13bf3c5d4dac0dd6f2
2026-03-30T14:21:53.456599+05:30,14,200,2026-03-30T14:21:53.659471+05:30,2026-03-30T14:22:37.291220+05:30,43.3014,283759398,52.425,success,https://stpes2ug24cs784388567931.file.core.windows.net/6c48981d-f8aa-4fb3-b21c-d5d503f50a55-code/peppa1.mp4?sp=r&st=2026-03-22T15%3A29%3A34Z&se=2026-04-30T15%3A45%3A00Z&sv=2024-11-04&sig=jn47d8f4kmtWLC5P4MdoE8WFRrN7dDbPnqy3eH4jAN0%3D&sr=f&_cbt=adc7ae32efa04855a9cba9360f6f0d08
2026-03-30T14:22:37.291572+05:30,14,200,2026-03-30T14:22:37.292983+05:30,2026-03-30T14:23:07.867887+05:30,30.3173,283759398,74.8773,success,https://stpes2ug24cs784388567931.file.core.windows.net/6c48981d-f8aa-4fb3-b21c-d5d503f50a55-code/peppa1.mp4?sp=r&st=2026-03-22T15%3A29%3A34Z&se=2026-04-30T15%3A45%3A00Z&sv=2024-11-04&sig=jn47d8f4kmtWLC5P4MdoE8WFRrN7dDbPnqy3eH4jAN0%3D&sr=f&_cbt=0a8a1dc6e74e4ac3b40a8ef222abe7fb
2026-03-30T14:23:07.868315+05:30,14,200,2026-03-30T14:23:07.949450+05:30,2026-03-30T14:23:46.407702+05:30,38.1753,283759398,59.4644,success,https://stpes2ug24cs784388567931.file.core.windows.net/6c48981d-f8aa-4fb3-b21c-d5d503f50a55-code/peppa1.mp4?sp=r&st=2026-03-22T15%3A29%3A34Z&se=2026-04-30T15%3A45%3A00Z&sv=2024-11-04&sig=jn47d8f4kmtWLC5P4MdoE8WFRrN7dDbPnqy3eH4jAN0%3D&sr=f&_cbt=b933d17b5d994f8e8597a0ef61b1e958
2026-03-30T14:23:46.408243+05:30,14,200,2026-03-30T14:23:46.410217+05:30,2026-03-30T14:24:16.485916+05:30,29.8386,283759398,76.0784,success,https://stpes2ug24cs784388567931.file.core.windows.net/6c48981d-f8aa-4fb3-b21c-d5d503f50a55-code/peppa1.mp4?sp=r&st=2026-03-22T15%3A29%3A34Z&se=2026-04-30T15%3A45%3A00Z&sv=2024-11-04&sig=jn47d8f4kmtWLC5P4MdoE8WFRrN7dDbPnqy3eH4jAN0%3D&sr=f&_cbt=75bc55a38db2484cacdc68069763288e
2026-03-30T14:24:28.017026+05:30,14,200,2026-03-30T14:24:28.141686+05:30,2026-03-30T14:27:38.129846+05:30,189.5864,283759398,11.9738,success,https://stpes2ug24cs784388567931.file.core.windows.net/6c48981d-f8aa-4fb3-b21c-d5d503f50a55-code/peppa1.mp4?sp=r&st=2026-03-22T15%3A29%3A34Z&se=2026-04-30T15%3A45%3A00Z&sv=2024-11-04&sig=jn47d8f4kmtWLC5P4MdoE8WFRrN7dDbPnqy3eH4jAN0%3D&sr=f&_cbt=abc0f357beab4e5b913924dcec95f7e0
2026-03-30T14:27:38.130215+05:30,14,200,2026-03-30T14:27:38.216434+05:30,2026-03-30T14:29:29.613888+05:30,111.0722,283759398,20.4378,success,https://stpes2ug24cs784388567931.file.core.windows.net/6c48981d-f8aa-4fb3-b21c-d5d503f50a55-code/peppa1.mp4?sp=r&st=2026-03-22T15%3A29%3A34Z&se=2026-04-30T15%3A45%3A00Z&sv=2024-11-04&sig=jn47d8f4kmtWLC5P4MdoE8WFRrN7dDbPnqy3eH4jAN0%3D&sr=f&_cbt=66bd36300b2d4077a769f98ea72e8b60
